# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Simon.png	255	255	255
1	textures\Weapons\Whip.png	255	255	255
2	textures\Torch.png	255	255	255
3	textures\Weapons\Knife.png	255	255	255
4	textures\Items\Items.png	255	255	255
8	textures\Weapons\Axe.png	255	255	255
9	textures\Weapons\Bomerang.png	255	255	255
13	textures\Candle.png	255	255	255
14	textures\Weapons\HolyWater.png	255	255	255
20	textures\Enemys\Skeleton.png	255	255	255
21	textures\Enemys\Raven.png	255	255	255

80	textures\Spark.png	255	255	255
90	textures\Pause.png	255	255	255
99	textures\Effect.png	255	255	255
-100	textures\bbox.png	255	255	255
-200	textures\bbox2.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# SIMON
# idle 
1	0	0	60	64	0
# walk
2	60	0	120	64	0
3	120	0	180	64	0
4	180	0	240	64	0
# jump 
5	240	0	300	64	0
# duck
6	300	198	360	262	0
# ascend
7	240	66	300	130	0
8	300	66	360	130	0
# descend
9	120	66	180	130	0
10	180	66	240	130	0
# hurt
11	0	66	60	130	0
# standing
12	300	0	360	64	0
13	360	0	420	64	0
14	420	0	480	64	0
# ducking
15	420	66	480	130	0
16	0	132	60	196	0
17	60	132	120	196	0
# ascending
18	300	132	360	196	0
19	360	132	420	196	0
20	420	132	480	196	0
# descending
21	120	132	180	196	0
22	180	132	240	196	0
23	240	132	300	196	0
# upgrade
24	120	198	180	262	0
25	60	198	120	262	0
26	0	198	60	262	0
# dead
27	240	198	300	264	0
#WHIP
101	0	0	240	66	1
102	240	0	480	66	1
103	480	0	720	66	1
#WHIP_1
104	0	66	240	132	1
105	240	66	480	132	1
106	480	66	720	132	1
#WHIP_2
107	0	132	240	198	1
108	240	132	480	198	1
109	480	132	720	198	1
110	0	198	240	264	1
111	240	198	480	264	1
112	480	198	720	264	1
113	0	264	240	330	1
114	240	264	480	330	1
115	480	264	720	330	1
116	0	330	240	396	1
117	240	330	480	396	1
118	480	330	720	396	1

#TORCH
201	0	0	32	64	2
202	32	0	64	64	2
# CANDLE
203	0	0	16	32	13
204	16	0	32	32	13

#Knife
301	0	0	32	18	3
#WhipItem
401	130	0	162	32	4
#Heart
402	0	0	16	16	4
403	16	0	40	20	4
#MoneyBag
404	40	0	70	30	4
405	70	0	100	30	4
406	100	0	130	30	4
#StopWatch
407	194	0	224	32	4
#Double
408	94	32	122	60	4
#Triple
409	164	32	192	60	4
#MagicCrystal
410	234	32	260	64	4
411	260	32	286	64	4
#CROWN
412	286	32	316	64	4
413	316	32	346	64	4



#Axe
801	0	0	30	28	8
802	30	0	60	28	8
803	60	0	90	28	8
804	90	0	120	28	8
#Boomerang
901	0	0	28	28	9
902	28	0	56	28	9
903	56	0	84	28	9
#HOLY WATER
1401	0	0	32	26	14
1402	32	0	64	26	14
1403	64	0	96	26	14

#Skeleton
2001	0	0	32	64	20
2002	36	0	68	64	20
2003	70	0	102	64	20
2004	104	0	136	64	20
#Raven
2101	0	0	32	32	21
2102	32	0	64	32	21
2103	64	0	96	32	21
2104	96	0	128	32	21

#SPARK
8001	0	0	16	20	80

#Effect Explore
9901	0	0	32	60	99
9902	32	0	64	60	99
9903	64	0	96	60	99
						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== SIMON =========
# idle
1	1	100
# walk
2	1	100	2	100	3	100	4	100
# jump
3	5	100
# duck
4	6	100
# ascend
5	7	100	8	100
# descend
6	9	100	10	100
# hurt
7	1	100	11	400	6	100
# standing
8	12	100	13	100	14	100
# ducking
9	15	100	16	100	17	100
# ascending
10	18	100	19	100	20	100
# descending
11	21	100	22	100	23	100
# upgrade
12	24	50	25	50	26	50
# dead
13	27	100

# ==== WHIP =========
101	101	100 	102	100	103	100
# ==== WHIP1 =========
102	104	100 	105	100	106	100
# ==== WHIP2 =========
103	107	25 	108	25	109	25	110	25	111	25	112	25	113	25	114	25	115	25	116	25	117	25	118	25

# ==== TORCH =========
201	201	150	202	150
202	203	150	204	150

# ==== KNIFE =========
301	301	100

# ==== WHIPITEM =========
401	401	100
# ==== HEART =========
402	402	100
403	403	100
# ==== BAG =========
404	404	100
405	405	100
406	406	100
407	404	50	405	50	406	50
# STOPWATCH
408	407	100
# DOUBLE, TRIPLE
409	408	100
410	409	100
# MAGICCRYSTAL
411	410	50	411	50
# CROWN
412	412	50	412	50
# ==== Axe =========
801	801	100
802	801	100	802	100	803	100	804	100
# ==== Boomerang =========
901	901	100
902	901	100	902	100	903	100

#HOLY WATER
1401	1401	100
1402	1402	100	1403	100

#SKELETON
2001	2001	150	2002	150
2002	2003	150	2004	150

#RAVEN
2101	2103	100	2102	100	2101	100
2102	2104	200

#SPARK
8001	8001	100

# ==== EFFECT =========
9901	9901	100	9902	100	9903	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# SIMON
0	1	2	3	4	5	6	7	8	9	10	11	12	13
# WHIP
1	101	102	103
# TORCH
2	201	202	9901
# ITEM
3	301	401	402	403	404	405	406	407	801	901	1401	408	409	410	411	412
# Weapon
4	301	802	902	1401	1402	1402
# SKELETON
20	2001	2002	2001
# RAVEN
21	2101	9901	2102

# id	file_image_path	file_text	width	height
[TILEMAP]
4	scenes\\Map_3.png	scenes\\Map_3_2.txt	1536	352	0	0

#grid_width	grid_height	cell_width	cell_height
[GRID]
1536	480	256	240

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon, 2 = Torch
# SIMON
0	100.0	48	0

# CANDLE
2	304	76	2	1
2	432	304	2	1
2	560	304	2	1
2	688	304	2	1
2	832	240	2	1
2	944	336	2	1
2	1072	336	2	1
2	1200	304	2	1
2	1328	304	2	1
2	1456	208	2	1


# GROUND
7	32	80	7
7	32	112	7
7	32	144	7
7	32	176	7
7	32	208	7
7	32	240	7
7	32	272	7
7	32	304	7
7	32	336	7
7	32	368	7
7	64	368	7
7	96	368	7
7	160	368	7
7	256	240	7
7	288	240	7
7	320	368	7
7	352	368	7
7	384	368	7
7	416	368	7
7	448	368	7
7	480	368	7
7	512	368	7
7	544	368	7
7	576	368	7
7	608	368	7
7	448	240	7
7	480	240	7
7	704	368	7
7	736	368	7
7	832	304	7
7	864	304	7
7	896	368	7
7	928	368	7
7	960	272	7
7	992	272	7
7	960	400	7
7	992	400	7
7	1024	400	7
7	1056	400	7
7	1088	240	7
7	1120	240	7
7	1216	368	7
7	1248	368	7
7	1280	368	7
7	1312	368	7
7	1344	336	7
7	1376	336	7
7	1408	272	7
7	1440	272	7
7	1472	304	7
7	1504	304	7
7	1520	176	7
7	1520	208	7
7	1520	240	7
7	1520	272	7
7	128	368	7

# STAIRS
8	1152	240	8	1
8	1184	272	8	1
8	1216	304	8	1
8	1248	336	8	1
8	128	368	8	1
8	160	400	8	1
8	128	336	8	0
8	160	304	8	0
8	192	272	8	0
8	224	240	8	0
8	768	336	8	0
8	800	304	8	0


20	640	336	20

21	448	208	21

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	1504	208	0	1536	304	5
